*NOUNS
now;あの
English language;英語
student;学生
language;語
Japanese language;日本語
high school;高校
major;専門
teacher;先生
college/university;大学
telephone;電話
friend;友達
name;名前
Japan;日本
number;番号
international student;留学生
I;私／僕
U.S.A.;アメリカ
Britain;イギリス
Australia;オーストラリア
Korea;韓国
Sweden;スウェーデン
China;中国
science;科学
Asian studies;アジア研究
economics;経済
international relations;国際関係
computer;コンピューター
anthropology;人類学
politics;政治
business;ビジネス
literature;文学
history;歴史
job/occupation;仕事
doctor;医者
office worker;会社員
high school student;高校生
college student;大学生
lawyer;弁護士
mother;お母さん
father;お父さん
older sister;お姐さん
older brother;お兄さん
younger sister;妹
younger brother;弟
this one;これ
that one;それ
that one (over there);あれ
here;ここ
there;そこ
over there;あそこ
fish;魚
pork cutlet;とんかつ
meat;肉
menu;メニュー
vegetable;野菜
pencil;鉛筆
umbrella;傘
bag;かばん
shoes;靴
wallet;財布
jeans;ジーンズ
dictionary;辞書
bicycle;自転車
newspaper;新聞
T-shirt;チーシャツ
tape;テープ
watch/clock;時計
notebook;ノート
sweatshirt;トレーナー
pen;ペン
hat/cap;帽子
book;本
cafe;喫茶店
bank;銀行
toilet/restroom;お手洗い
library;図書館
post office;郵便局
yen;円
movie;映画
music;音楽
magazine;雑誌
sports;スポーツ
date (romatic);デート
tennis;テニス
TV;テレビ
ice cream;アイスクリーム
breakfast;朝御飯
sake/alcohol;お酒
green tea;お茶
coffee;コーヒー
dinner;晩御飯
hamburger;ハンバーグ
lunch;昼御飯
water;水
home/house;家
school;学校
morning;朝
tomorrow;あした
today;今日
tonight;今晩
weekend;週末
Saturday;土曜日
Sunday;日曜日
every day;毎日
every night;毎晩
part-time job;アルバイト
shopping;買い物
class;クラス
you;あなた
chair;椅子
dog;犬
souvenir;お土産
child;子供
rice/meal;御飯
picture/photo;写真
desk;机
letter;手紙
cat;猫
bread;パン
person;人
email;メール
temple;お寺
park;公園
supermarket;スーパー
department store;デパート
bus stop;バス停
hospital;病院
hotel;ホテル
bookstore;本屋
town/city;町
restaurant;レストラン
yesterday;昨日
last week;先週
Monday;月曜日
Tuesday;火曜日
Wednesday;水曜日
Thursday;木曜日
Friday;金曜
sea;海
postal stamps;切手
ticket;切符
surfing;サーフィン
homework;宿題
food;食べ物
birthday;誕生日
test;テスト
weather;天気
drink;飲み物
postcard;葉書
bus;バス
airplane;飛行機
room;部屋
I (used by men);僕
holiday/day off/absence;休み
travel;旅行
money;お金
bath;お風呂
kanji;漢字
textbook;きょうかしよ
this week;こんしゅう
CD;デイスク
municipal hospital;しみんびょういん
shower;
next;次
electricity;電気
train;電車
baggage;荷物
personal computer;
page;ページ
window;窓
night;夜
next week;らいしゅう
next year;来年
video game;テレビゲーム
bath;お風呂
(my) older syster;姉
apartment;アパート
song;歌
grandfather/old man;おじいさん
man;男の人
grandmother/old woman;おばあさん
woman;女の人
company;会社
family;家族
hair;髪
brothers and sisters;兄弟
mouth;くち
country/place of origin;国
car;車
convenience store;コンビニ
club activity;サークル
cafeteria;食堂
(my) father;父
DVD;デイーブイデイー
(my) mother;母
eye;目
glasses;眼鏡
one person;一人
two people;二人
the day after tomorrow;あさって
rain;雨
camera;カメラ
karaoke;カラオケ
air;空気
this morning;今朝
blackboard;黒板
this month;今月
weather forecast;天気お法
place;所
tomato;トマト
summer;夏
something;何か
party;パーティー
barbecue;バーベキュー
chopsticks;はし
winter;冬
homestay;ホームステイ
every week;毎週
next month;来月
good child;いい子
color;色
boxed lunch;お弁当
Kabuki;かぶき
spa;温泉
guitar;ギター
last year;去年
medicine;薬
concert;コンサート
near future;今度
essay/composition;作文
exam;試験
ski;スキー
last month;先月
word/vocab;単語
piano;ピアノ
pizza;ピーザ
illness/sickness;病気
fall;秋
doctor;医者
station;駅
rich person;お金持ち
face;顔
season;季節
milk;牛乳
credit card;クレジットカード
cake;ケーキ
this year;今年
soccer;サンカー
shirt;シャツ
bullet train;新幹線
sushi;スシ
life/living;生活
world;世界
subway;地下鉄
gloves;手袋
tempura;天ぷら
barber's;床屋
spring;春
pants;パンツ
beauty parlor;美容院
flight;便
ship/boat;船
baseball;野球
celebrity;有名人
reservation;予約
next semester;来学期
apple;りんご
#
*VERBS
am/is;ます
to go;行く
to go back/return;帰る
to listen/hear;聞く
to drink;飲む
to speak/talk;話す
to read;読む
to get up;起きる
to eat;食べる
to sleep/go to sleep;寝る
to see/look at/watch;見る
to come;来る
to do;する
to study;勉強する
to meet;会う
there is/have/exists (thing);ある
to buy;買う
to write;書く
to take (a picture);撮る
to wait;待つ
to understand;わかる
there is/have/exists (person);いる
to swim;泳ぐ
to ask;聞く
to ride/board;乗る
to do/perform;やる
to go out;出かける
to play/spend time pleasantly;遊ぶ
to hurry;急ぐ
to take a bath;お風呂に入る
to return (a thing);返す
to turn off/erase;消す
to die;死ぬ
to sit down;座る
to stand up;立つ
to smoke;タバコを吸い
to use;つかう
to help;手伝う
to enter;入る
to carry/hold;持つ
to be absent (from...)/to rest;休む
to open (something);開ける
to teach/instruct;教える
to get off;降りる
to borrow;借りる
to close;閉める
to turn on;つける
to make a phone call;電話をかける
to forget/leave behind;忘れる
to bring (a person);連れてくる
to bring (a thing);持ってくる
to sing;歌う
to put on (a hat);はぶる
to get to know;知る
to live;住む
to put on (items below your waist);はく
to gain weight;太る
to be on the heavy side;太っています
to put on (glasses);眼鏡をかけた
to put on (clothes above your waist);着る
to work for;勤める
to lose weight;やせる
to be thin;やせています
to get married;結構する
it rains;雨が降る
to wash;洗う
to say;言う
to need;いる
to be late;遅くなる
to think;思う
to cut;切る
to make;作る
to take (a thing);持っていく
to stare (at...);じろじろ見る
to throw away;捨てる
to begin;始める
to drive;運転する
to do laundry;洗濯する
to clean;掃除する
to call;電話する
to cook;料理する
to take medicine;薬を飲む
to dance;踊る
(something) ends;終わる
to be popular;人気がある
(something) begins;始まる
to play (a string instrument or piano);弾く
to get (from somebody);もらう
to memorize;覚える
to appear/to attend/to exit;出る
to do physical exercises;運動する
to take a walk;散歩する
to take (amount of time/money);かかる
to stay (at a hotel, etc.);泊まる
to become;なる
to pay;払う
to decide;決める
to travel;旅行する
to practice;練習する
#
*ADVERBS
not much;あまり+negative
not at all;全然+negative
usually;大抵
a little;ちょっと
sometimes;時々
often/much;よく
alone;一人で
together;一緒に
extremely;凄く
later on;後で
(do something) late;遅く
right away;すぐ
slowly/leisurely/unhurriedly;ゆっくり
always;何時も
very;とても
already;もう
on foot;歩いて
(do something) early/fast;早く
